gene_callers_id	source	accession	function	e_value
AMXMAG_0088___4034	KOfam	K06076	long-chain fatty acid transport protein	3e-33
AMXMAG_0088___3757	KOfam	K06076	long-chain fatty acid transport protein	9.2e-32
AMXMAG_0088___4095	KOfam	K11907	type VI secretion system protein VasG	0
AMXMAG_0088___3596	KOfam	K12573	ribonuclease R [EC:3.1.13.1]	4.6e-243
AMXMAG_0088___4354	KOfam	K00605	glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	1.5e-153
AMXMAG_0088___3781	KOfam	K18843	antitoxin HicB	5.2e-18
AMXMAG_0088___3493	KOfam	K07787	copper/silver efflux system protein	0
AMXMAG_0088___4447	KOfam	K02600	transcription termination/antitermination protein NusA	1e-135
AMXMAG_0088___4560	KOfam	K09769	2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]	7.9e-104
AMXMAG_0088___4297	KOfam	K03522	electron transfer flavoprotein alpha subunit	7.4e-110
AMXMAG_0088___4102	KOfam	K11898	type VI secretion system protein ImpE	7e-80
AMXMAG_0088___3642	KOfam	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	4.3e-41
AMXMAG_0088___4555	KOfam	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	1.2e-109
AMXMAG_0088___4529	KOfam	K07221	phosphate-selective porin OprO and OprP	5.8e-31
AMXMAG_0088___3900	KOfam	K07221	phosphate-selective porin OprO and OprP	1.3e-22
AMXMAG_0088___4056	KOfam	K02198	cytochrome c-type biogenesis protein CcmF	5.9e-177
AMXMAG_0088___3705	KOfam	K05807	outer membrane protein assembly factor BamD	4.5e-48
AMXMAG_0088___4295	KOfam	K08264	heterodisulfide reductase subunit D [EC:1.8.98.1]	1.2e-101
AMXMAG_0088___4466	KOfam	K03325	arsenite transporter	4.2e-140
AMXMAG_0088___4481	KOfam	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]	1.2e-94
AMXMAG_0088___4117	KOfam	K01724	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	8.5e-21
AMXMAG_0088___3719	KOfam	K03641	TolB protein	4.8e-108
AMXMAG_0088___4084	KOfam	K08714	voltage-gated sodium channel	4.7e-106
AMXMAG_0088___4370	KOfam	K00406	cytochrome c oxidase cbb3-type subunit III	7.1e-51
AMXMAG_0088___4397	KOfam	K11904	type VI secretion system secreted protein VgrG	1.5e-216
AMXMAG_0088___4454	KOfam	K11904	type VI secretion system secreted protein VgrG	1.5e-197
AMXMAG_0088___4093	KOfam	K11904	type VI secretion system secreted protein VgrG	1.2e-193
AMXMAG_0088___4603	KOfam	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	1.6e-163
AMXMAG_0088___4215	KOfam	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	3.2e-172
AMXMAG_0088___3714	KOfam	K02005	HlyD family secretion protein	7.2e-91
AMXMAG_0088___3739	KOfam	K02005	HlyD family secretion protein	5.5e-85
AMXMAG_0088___4193	KOfam	K02005	HlyD family secretion protein	4.3e-74
AMXMAG_0088___3649	KOfam	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	3.8e-36
AMXMAG_0088___4536	KOfam	K02039	phosphate transport system protein	5.6e-74
AMXMAG_0088___4379	KOfam	K12410	NAD-dependent deacetylase [EC:2.3.1.286]	9.3e-80
AMXMAG_0088___4298	KOfam	K03521	electron transfer flavoprotein beta subunit	4.6e-75
AMXMAG_0088___4276	KOfam	K01444	N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]	1.6e-89
AMXMAG_0088___4340	KOfam	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator	1.1e-39
AMXMAG_0088___4116	KOfam	K08676	tricorn protease [EC:3.4.21.-]	0
AMXMAG_0088___4280	KOfam	K08676	tricorn protease [EC:3.4.21.-]	0
AMXMAG_0088___3874	KOfam	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	2.8e-33
AMXMAG_0088___3534	KOfam	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1.5e-57
AMXMAG_0088___3746	KOfam	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	3.7e-250
AMXMAG_0088___4072	KOfam	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	3.9e-174
AMXMAG_0088___3659	KOfam	K08307	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]	1.9e-129
AMXMAG_0088___3835	KOfam	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	1.2e-101
AMXMAG_0088___4336	KOfam	K01486	adenine deaminase [EC:3.5.4.2]	7.9e-218
AMXMAG_0088___4532	KOfam	K02038	phosphate transport system permease protein	5.6e-99
AMXMAG_0088___4216	KOfam	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	2.6e-108
AMXMAG_0088___3728	KOfam	K02004	putative ABC transport system permease protein	9.4e-31
AMXMAG_0088___4192	KOfam	K02004	putative ABC transport system permease protein	7.6e-25
AMXMAG_0088___4191	KOfam	K02004	putative ABC transport system permease protein	1.1e-21
AMXMAG_0088___3876	KOfam	K02004	putative ABC transport system permease protein	1.4e-18
AMXMAG_0088___4044	KOfam	K02004	putative ABC transport system permease protein	9.5e-17
AMXMAG_0088___4266	KOfam	K02004	putative ABC transport system permease protein	6.1e-15
AMXMAG_0088___3877	KOfam	K09810	lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]	2.8e-103
AMXMAG_0088___3851	KOfam	K01733	threonine synthase [EC:4.2.3.1]	2.6e-110
AMXMAG_0088___4314	KOfam	K01733	threonine synthase [EC:4.2.3.1]	2.4e-105
AMXMAG_0088___4121	KOfam	K05555	cyclase [EC:4.-.-.-]	1.1e-62
AMXMAG_0088___4274	KOfam	K05586	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	2.2e-73
AMXMAG_0088___3660	KOfam	K07391	magnesium chelatase family protein	1.4e-217
AMXMAG_0088___4221	KOfam	K21395	TRAP-type transport system periplasmic protein	6.1e-73
AMXMAG_0088___4445	KOfam	K03646	colicin import membrane protein	4.5e-19
AMXMAG_0088___4571	KOfam	K09800	translocation and assembly module TamB	4.4e-59
AMXMAG_0088___4100	KOfam	K11901	type VI secretion system protein ImpB	6.9e-75
AMXMAG_0088___4535	KOfam	K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	3.6e-100
AMXMAG_0088___3999	KOfam	K02014	iron complex outermembrane recepter protein	2.1e-78
AMXMAG_0088___4176	KOfam	K02014	iron complex outermembrane recepter protein	6.5e-77
AMXMAG_0088___4046	KOfam	K07226	heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]	6.8e-36
AMXMAG_0088___3749	KOfam	K01119	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	1.2e-163
AMXMAG_0088___3748	KOfam	K10773	endonuclease III [EC:3.2.2.- 4.2.99.18]	1.4e-85
AMXMAG_0088___4546	KOfam	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]	2.5e-45
AMXMAG_0088___3943	KOfam	K07019	uncharacterized protein	2.3e-101
AMXMAG_0088___3993	KOfam	K14059	integrase	1.8e-73
AMXMAG_0088___4561	KOfam	K09791	uncharacterized protein	5.6e-15
AMXMAG_0088___4222	KOfam	K11690	C4-dicarboxylate transporter, DctM subunit	1.3e-129
AMXMAG_0088___4164	KOfam	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	1.9e-152
AMXMAG_0088___4512	KOfam	K16074	zinc transporter	1.2e-106
AMXMAG_0088___4480	KOfam	K02015	iron complex transport system permease protein	2.6e-103
AMXMAG_0088___3801	KOfam	K01520	dUTP diphosphatase [EC:3.6.1.23]	8.4e-52
AMXMAG_0088___4178	KOfam	K02029	polar amino acid transport system permease protein	4.5e-80
AMXMAG_0088___4099	KOfam	K11900	type VI secretion system protein ImpC	1.6e-228
AMXMAG_0088___4273	KOfam	K05587	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	4.6e-263
AMXMAG_0088___3653	KOfam	K03686	molecular chaperone DnaJ	1.1e-138
AMXMAG_0088___4504	KOfam	K01734	methylglyoxal synthase [EC:4.2.3.3]	1e-63
AMXMAG_0088___4101	KOfam	K11902	type VI secretion system protein ImpA	3.1e-105
AMXMAG_0088___3616	KOfam	K02003	putative ABC transport system ATP-binding protein	2.1e-108
AMXMAG_0088___4190	KOfam	K02003	putative ABC transport system ATP-binding protein	4.1e-105
AMXMAG_0088___4265	KOfam	K02003	putative ABC transport system ATP-binding protein	6.8e-98
AMXMAG_0088___3877	KOfam	K02003	putative ABC transport system ATP-binding protein	1.1e-94
AMXMAG_0088___3783	KOfam	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]	2.4e-55
AMXMAG_0088___4467	KOfam	K07755	arsenite methyltransferase [EC:2.1.1.137]	6.6e-102
AMXMAG_0088___4432	KOfam	K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	1.9e-31
AMXMAG_0088___4049	KOfam	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1.6e-196
AMXMAG_0088___4310	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	2.2e-59
AMXMAG_0088___3715	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	3.5e-52
AMXMAG_0088___4519	KOfam	K01654	N-acetylneuraminate synthase [EC:2.5.1.56]	5.4e-147
AMXMAG_0088___3838	KOfam	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	2.9e-19
AMXMAG_0088___3646	KOfam	K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	0
AMXMAG_0088___4473	KOfam	K13655	HTH-type transcriptional regulator / antitoxin MqsA	4.4e-21
AMXMAG_0088___4103	KOfam	K11903	type VI secretion system secreted protein Hcp	1.1e-54
AMXMAG_0088___3650	KOfam	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	3.7e-86
AMXMAG_0088___4387	KOfam	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	1.4e-56
AMXMAG_0088___3655	KOfam	K03687	molecular chaperone GrpE	2.4e-60
AMXMAG_0088___4540	KOfam	K03186	flavin prenyltransferase [EC:2.5.1.129]	1.3e-87
AMXMAG_0088___4066	KOfam	K06940	uncharacterized protein	8.2e-12
AMXMAG_0088___3792	KOfam	K00464	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]	1.3e-143
AMXMAG_0088___3857	KOfam	K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]	1.5e-130
AMXMAG_0088___4052	KOfam	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	5e-107
AMXMAG_0088___3732	KOfam	K03569	rod shape-determining protein MreB and related proteins	5.9e-41
AMXMAG_0088___4554	KOfam	K02887	large subunit ribosomal protein L20	9.6e-56
AMXMAG_0088___4328	KOfam	K19055	Ala-tRNA(Pro) deacylase [EC:3.1.1.-]	9.1e-46
AMXMAG_0088___4525	KOfam	K07257	spore coat polysaccharide biosynthesis protein SpsF	4.5e-84
AMXMAG_0088___3567	KOfam	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	1.8e-35
AMXMAG_0088___4473	KOfam	K07726	putative transcriptional regulator	1.7e-14
AMXMAG_0088___4174	KOfam	K07054	uncharacterized protein	5.5e-104
AMXMAG_0088___4207	KOfam	K03385	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	3.1e-172
AMXMAG_0088___4335	KOfam	K06996	uncharacterized protein	9.8e-55
AMXMAG_0088___3468	KOfam	K15726	heavy metal efflux system protein	0
AMXMAG_0088___3763	KOfam	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	4.5e-146
AMXMAG_0088___4311	KOfam	K07491	REP-associated tyrosine transposase	1.7e-30
AMXMAG_0088___4038	KOfam	K16239	4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.61]	5.1e-270
AMXMAG_0088___4474	KOfam	K21495	antitoxin FitA	1.3e-09
AMXMAG_0088___3855	KOfam	K01745	histidine ammonia-lyase [EC:4.3.1.3]	8.7e-182
AMXMAG_0088___4053	KOfam	K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein	3.6e-80
AMXMAG_0088___4396	KOfam	K14162	error-prone DNA polymerase [EC:2.7.7.7]	0
AMXMAG_0088___3663	KOfam	K00088	IMP dehydrogenase [EC:1.1.1.205]	9.9e-205
AMXMAG_0088___4201	KOfam	K03581	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	3.4e-145
AMXMAG_0088___4386	KOfam	K02106	short-chain fatty acids transporter	1.1e-163
AMXMAG_0088___3713	KOfam	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]	3.5e-141
AMXMAG_0088___3623	KOfam	K02884	large subunit ribosomal protein L19	4.3e-53
AMXMAG_0088___4302	KOfam	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	2.6e-57
AMXMAG_0088___4578	KOfam	K04749	anti-sigma B factor antagonist	2.9e-24
AMXMAG_0088___3597	KOfam	K04749	anti-sigma B factor antagonist	2.7e-21
AMXMAG_0088___3940	KOfam	K04749	anti-sigma B factor antagonist	4.7e-21
AMXMAG_0088___4381	KOfam	K01142	exodeoxyribonuclease III [EC:3.1.11.2]	2.5e-92
AMXMAG_0088___4465	KOfam	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]	7.3e-53
AMXMAG_0088___3533	KOfam	K01156	type III restriction enzyme [EC:3.1.21.5]	1.6e-137
AMXMAG_0088___4208	KOfam	K15876	cytochrome c nitrite reductase small subunit	4e-58
AMXMAG_0088___4372	KOfam	K15862	cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9]	0
AMXMAG_0088___4492	KOfam	K00937	polyphosphate kinase [EC:2.7.4.1]	0
AMXMAG_0088___4621	KOfam	K05873	adenylate cyclase, class 2 [EC:4.6.1.1]	5.7e-36
AMXMAG_0088___3668	KOfam	K11741	quaternary ammonium compound-resistance protein SugE	5.4e-43
AMXMAG_0088___4517	KOfam	K11741	quaternary ammonium compound-resistance protein SugE	1.5e-35
AMXMAG_0088___4620	KOfam	K07137	uncharacterized protein	2.4e-180
AMXMAG_0088___4051	KOfam	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	2.4e-36
AMXMAG_0088___4374	KOfam	K01208	cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]	1.6e-171
AMXMAG_0088___3747	KOfam	K00857	thymidine kinase [EC:2.7.1.21]	1.8e-60
AMXMAG_0088___4182	KOfam	K01585	arginine decarboxylase [EC:4.1.1.19]	2.1e-92
AMXMAG_0088___3495	KOfam	K15725	outer membrane protein, heavy metal efflux system	1e-63
AMXMAG_0088___3818	KOfam	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	2.2e-88
AMXMAG_0088___4550	KOfam	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	3.6e-93
AMXMAG_0088___4589	KOfam	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	1.2e-212
AMXMAG_0088___4063	KOfam	K01754	threonine dehydratase [EC:4.3.1.19]	1.8e-126
AMXMAG_0088___4143	KOfam	K01768	adenylate cyclase [EC:4.6.1.1]	2.3e-61
AMXMAG_0088___4189	KOfam	K07133	uncharacterized protein	3.6e-77
AMXMAG_0088___4472	KOfam	K03427	type I restriction enzyme M protein [EC:2.1.1.72]	3.5e-129
AMXMAG_0088___3568	KOfam	K03427	type I restriction enzyme M protein [EC:2.1.1.72]	6.3e-90
AMXMAG_0088___4271	KOfam	K18007	NAD-reducing hydrogenase small subunit [EC:1.12.1.2]	4.3e-75
AMXMAG_0088___4558	KOfam	K09888	cell division protein ZapA	3.1e-22
AMXMAG_0088___4440	KOfam	K03584	DNA repair protein RecO (recombination protein O)	6.4e-41
AMXMAG_0088___4362	KOfam	K03547	DNA repair protein SbcD/Mre11	3.3e-42
AMXMAG_0088___4063	KOfam	K22589	threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16]	1.7e-151
AMXMAG_0088___4183	KOfam	K07735	putative transcriptional regulator	1.6e-45
AMXMAG_0088___4334	KOfam	K01620	threonine aldolase [EC:4.1.2.48]	4e-132
AMXMAG_0088___4444	KOfam	K04771	serine protease Do [EC:3.4.21.107]	4.6e-113
AMXMAG_0088___3879	KOfam	K00259	alanine dehydrogenase [EC:1.4.1.1]	3.3e-129
AMXMAG_0088___3569	KOfam	K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	5.9e-84
AMXMAG_0088___3595	KOfam	K03977	GTPase	1.7e-159
AMXMAG_0088___4575	KOfam	K07052	CAAX protease family protein	9.9e-16
AMXMAG_0088___4086	KOfam	K07126	uncharacterized protein	2.3e-29
AMXMAG_0088___4429	KOfam	K06006	periplasmic protein CpxP/Spy	6e-23
AMXMAG_0088___4605	KOfam	K01755	argininosuccinate lyase [EC:4.3.2.1]	9.8e-179
AMXMAG_0088___4071	KOfam	K03630	DNA repair protein RadC	1.1e-73
AMXMAG_0088___3610	KOfam	K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	2.7e-49
AMXMAG_0088___4422	KOfam	K01966	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	1.9e-274
AMXMAG_0088___3488	KOfam	K17686	P-type Cu+ transporter [EC:7.2.2.8]	2.9e-305
AMXMAG_0088___4180	KOfam	K01596	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	5.8e-289
AMXMAG_0088___3637	KOfam	K18979	epoxyqueuosine reductase [EC:1.17.99.6]	1.7e-98
AMXMAG_0088___3690	KOfam	K09690	lipopolysaccharide transport system permease protein	4.4e-73
AMXMAG_0088___3734	KOfam	K07130	arylformamidase [EC:3.5.1.9]	4.9e-66
AMXMAG_0088___3670	KOfam	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	1.5e-147
AMXMAG_0088___4055	KOfam	K03593	ATP-binding protein involved in chromosome partitioning	9.4e-138
AMXMAG_0088___3820	KOfam	K02841	lipopolysaccharide heptosyltransferase I [EC:2.4.99.23]	5.4e-80
AMXMAG_0088___4602	KOfam	K00930	acetylglutamate kinase [EC:2.7.2.8]	2.5e-83
AMXMAG_0088___4138	KOfam	K26061	L-aminoadipate-semialdehyde dehydrogenase	4.2e-234
AMXMAG_0088___3548	KOfam	K18831	HTH-type transcriptional regulator / antitoxin HigA	1.2e-11
AMXMAG_0088___3478	KOfam	K08363	mercuric ion transport protein	3.2e-21
AMXMAG_0088___3601	KOfam	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	2.6e-94
AMXMAG_0088___3708	KOfam	K01151	deoxyribonuclease IV [EC:3.1.21.2]	1.1e-107
AMXMAG_0088___3735	KOfam	K00500	phenylalanine-4-hydroxylase [EC:1.14.16.1]	5.5e-95
AMXMAG_0088___3826	KOfam	K02667	two-component system, NtrC family, response regulator PilR	2.8e-175
AMXMAG_0088___3863	KOfam	K01434	penicillin G amidase [EC:3.5.1.11]	1.8e-189
AMXMAG_0088___3895	KOfam	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	3.9e-97
AMXMAG_0088___3658	KOfam	K24105	mutual gliding-motility protein MglA	3.1e-96
AMXMAG_0088___4308	KOfam	K09915	uncharacterized protein	2.5e-74
AMXMAG_0088___4196	KOfam	K07086	uncharacterized protein	8.6e-105
AMXMAG_0088___4226	KOfam	K00925	acetate kinase [EC:2.7.2.1]	5.5e-180
AMXMAG_0088___4592	KOfam	K06987	uncharacterized protein	4.7e-55
AMXMAG_0088___4038	KOfam	K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	1.3e-152
AMXMAG_0088___801	KOfam	K02291	15-cis-phytoene synthase [EC:2.5.1.32]	5.8e-83
AMXMAG_0088___346	KOfam	K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	8.1e-55
AMXMAG_0088___17	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	1.5e-147
AMXMAG_0088___74	KOfam	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	1.9e-131
AMXMAG_0088___520	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	9.3e-26
AMXMAG_0088___275	KOfam	K03560	biopolymer transport protein TolR	7.7e-45
AMXMAG_0088___706	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1e-206
AMXMAG_0088___1057	KOfam	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	3.3e-21
AMXMAG_0088___330	KOfam	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	5.5e-170
AMXMAG_0088___708	KOfam	K08151	MFS transporter, DHA1 family, tetracycline resistance protein	5.5e-111
AMXMAG_0088___134	KOfam	K07263	zinc protease [EC:3.4.24.-]	7.5e-102
AMXMAG_0088___427	KOfam	K07263	zinc protease [EC:3.4.24.-]	8.8e-94
AMXMAG_0088___639	KOfam	K07277	outer membrane protein insertion porin family	6.9e-137
AMXMAG_0088___44	KOfam	K02469	DNA gyrase subunit A [EC:5.6.2.2]	0
AMXMAG_0088___761	KOfam	K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	3e-97
AMXMAG_0088___1013	KOfam	K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	4e-248
AMXMAG_0088___276	KOfam	K03561	biopolymer transport protein ExbB	4.5e-53
AMXMAG_0088___480	KOfam	K07713	two-component system, NtrC family, response regulator HydG	3.5e-182
AMXMAG_0088___763	KOfam	K07713	two-component system, NtrC family, response regulator HydG	2.1e-178
AMXMAG_0088___568	KOfam	K07713	two-component system, NtrC family, response regulator HydG	4.6e-173
AMXMAG_0088___902	KOfam	K07713	two-component system, NtrC family, response regulator HydG	1.2e-168
AMXMAG_0088___591	KOfam	K07075	uncharacterized protein	6.3e-34
AMXMAG_0088___597	KOfam	K07075	uncharacterized protein	4e-28
AMXMAG_0088___943	KOfam	K09931	uncharacterized protein	1.2e-62
AMXMAG_0088___531	KOfam	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	1.7e-31
AMXMAG_0088___999	KOfam	K09138	uncharacterized protein	1.1e-70
AMXMAG_0088___1080	KOfam	K07667	two-component system, OmpR family, KDP operon response regulator KdpE	1.8e-85
AMXMAG_0088___887	KOfam	K16568	exopolysaccharide production protein ExoZ	6.6e-41
AMXMAG_0088___614	KOfam	K00322	NAD(P) transhydrogenase [EC:1.6.1.1]	4.6e-158
AMXMAG_0088___762	KOfam	K06974	archaemetzincin [EC:3.4.-.-]	9.9e-32
AMXMAG_0088___274	KOfam	K03832	periplasmic protein TonB	7.3e-13
AMXMAG_0088___291	KOfam	K06962	uncharacterized protein	3.5e-22
AMXMAG_0088___46	KOfam	K03629	DNA replication and repair protein RecF	1.1e-79
AMXMAG_0088___253	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	1.7e-50
AMXMAG_0088___853	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	1.4e-49
AMXMAG_0088___323	KOfam	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	4.5e-110
AMXMAG_0088___1059	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	4.7e-88
AMXMAG_0088___570	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	5.4e-79
AMXMAG_0088___1053	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	3.4e-76
AMXMAG_0088___354	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	2.4e-66
AMXMAG_0088___51	KOfam	K08998	uncharacterized protein	1.1e-34
AMXMAG_0088___441	KOfam	K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	1.7e-121
AMXMAG_0088___1037	KOfam	K01214	isoamylase [EC:3.2.1.68]	2.5e-267
AMXMAG_0088___931	KOfam	K07063	uncharacterized protein	3.6e-34
AMXMAG_0088___248	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	4.8e-108
AMXMAG_0088___123	KOfam	K00240	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	5.2e-61
AMXMAG_0088___305	KOfam	K19710	ATP adenylyltransferase [EC:2.7.7.53]	1.7e-65
AMXMAG_0088___121	KOfam	K00241	succinate dehydrogenase cytochrome b subunit	1.1e-44
AMXMAG_0088___640	KOfam	K06142	outer membrane protein	2.2e-38
AMXMAG_0088___480	KOfam	K02481	two-component system, NtrC family, response regulator	3.4e-176
AMXMAG_0088___763	KOfam	K02481	two-component system, NtrC family, response regulator	1.4e-171
AMXMAG_0088___568	KOfam	K02481	two-component system, NtrC family, response regulator	7.1e-169
AMXMAG_0088___844	KOfam	K07076	uncharacterized protein	4.9e-18
AMXMAG_0088___1066	KOfam	K10536	agmatine deiminase [EC:3.5.3.12]	2.3e-127
AMXMAG_0088___233	KOfam	K12527	putative selenate reductase [EC:1.97.1.9]	0
AMXMAG_0088___523	KOfam	K00876	uridine kinase [EC:2.7.1.48]	4e-79
AMXMAG_0088___331	KOfam	K08999	uncharacterized protein	4.1e-51
AMXMAG_0088___852	KOfam	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	1.7e-236
AMXMAG_0088___255	KOfam	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	3e-232
AMXMAG_0088___854	KOfam	K14340	mannosyltransferase [EC:2.4.1.-]	2.8e-38
AMXMAG_0088___641	KOfam	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	8.7e-119
AMXMAG_0088___704	KOfam	K08972	putative membrane protein	2.2e-40
AMXMAG_0088___116	KOfam	K21472	peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]	4.3e-48
AMXMAG_0088___583	KOfam	K08976	putative membrane protein	3e-55
